mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step,is_oom,oom_gpumem,is_zero_oom,zerooom_gpumem
1,1,16,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[13, 12, 13, 12]",5.855297088623047,5.71842296004436,0.13687430322170258,0,0.147605533718533,False,tensor([3.7232]),False,tensor([1.6864])
1,1,8,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[7, 6, 6, 6, 7, 6, 6, 6]",6.058706283569336,5.983892358929252,0.07481376081705093,0,0.1527332535129123,False,tensor([2.1236]),False,tensor([1.0299])
1,1,4,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",6.183173179626465,6.176595566893882,0.006577682215720415,0,0.15587092566596136,False,tensor([1.3237]),False,tensor([0.7454])
2,1,64,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']",[50],6.3343706130981445,5.833337306976318,0.5010332465171814,0,0.1596824449666341,False,tensor([13.8448]),False,tensor([6.3962])
1,1,64,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']",[50],6.3463664054870605,5.845333099365234,0.5010332465171814,0,0.15998484556410048,False,tensor([12.5088]),False,tensor([5.0602])
1,1,8,7.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[9, 8, 8, 7, 6, 6, 6]",7.040260314941406,6.9478017219292525,0.09245895594358444,0,0.15529249752468532,False,tensor([2.6568]),False,tensor([1.3053])
1,1,8,7.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[9, 8, 8, 7, 6, 6, 6]",7.059393405914307,6.966934803929254,0.09245895594358444,0,0.15571453099356758,False,tensor([2.6568]),False,tensor([1.3053])
1,1,8,7.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[9, 8, 8, 7, 6, 6, 6]",7.059393405914307,6.966934803929254,0.09245895594358444,0,0.15571453099356758,False,tensor([2.6568]),False,tensor([1.3053])
1,1,4,15.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 3]",7.081679344177246,7.073901134575241,0.007778035942465067,0,0.16736368850072225,False,tensor([1.5904]),False,tensor([0.9065])
1,1,4,15.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 3, 2, 3, 3, 3, 3, 3, 2, 3]",7.086849689483643,7.079071478575241,0.007778035942465067,0,0.16748588099479675,False,tensor([1.5904]),False,tensor([0.9065])
