mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step,is_oom,oom_gpumem,is_zero_oom,zerooom_gpumem
16,1,16,1.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[26],0.660766065120697,0.41045835614204407,0.25030770897865295,0.0,0.009138504808296758,False,tensor([19.4614]),False,tensor([15.7371])
8,1,16,1.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[26],0.7247545719146729,0.4744468331336975,0.25030770897865295,0.0,0.010023476522008577,False,tensor([12.5239]),False,tensor([8.7996])
8,1,4,4.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[12, 6, 6, 2]",0.738185703754425,0.6859624374963152,0.002216026419773698,0.05000724643468857,0.010209231313874322,False,tensor([6.0239]),False,tensor([4.6018])
8,1,8,2.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[19, 7]",0.7878875136375427,0.5571953364360172,0.18068493902683258,0.05000724643468857,0.01089661562819282,False,tensor([9.5239]),False,tensor([6.8834])
16,1,8,2.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[20, 6]",0.8261547088623047,0.5866399442382355,0.18950752913951874,0.05000724643468857,0.01142585731601715,False,tensor([15.5161]),False,tensor([12.7467])
16,1,4,4.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[11, 6, 6, 3]",0.8345248103141785,0.782465953699112,0.002051630290225148,0.05000724643468857,0.011541617214113472,False,tensor([8.4146]),False,tensor([7.0979])
32,2,8,1.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[26],0.9158462882041931,0.660347580909729,0.2554987072944641,0.0,0.012666306806912022,False,tensor([19.4614]),False,tensor([16.0475])
16,2,8,1.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[26],0.9172812104225159,0.6617825031280518,0.2554987072944641,0.0,0.01268615202034513,False,tensor([12.5239]),False,tensor([9.1100])
4,1,4,4.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[10, 6, 6, 4]",0.9344547390937805,0.8825602351594648,0.001887233927845955,0.05000724643468857,0.012923664784123498,False,tensor([3.7232]),False,tensor([2.5120])
4,1,8,2.0,"['p4d.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[18, 8]",0.9440979361534119,0.7222283643453156,0.17186234891414642,0.05000724643468857,0.01305703180665771,False,tensor([6.5669]),False,tensor([4.0553])
