mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step
1,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3]",0.8713077306747437,0.8056229126932766,0.0013558294158428907,0.06432896107435226,0.0175415060758392
1,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 2, 3, 1, 2, 2, 3, 2, 3]",0.8717306852340698,0.8060459129212743,0.0013558294158428907,0.06432896107435226,0.017550021161509884
1,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 1, 2, 2, 3, 2, 3, 2, 3]",0.8719706535339355,0.8062858875366712,0.0013558294158428907,0.06432896107435226,0.017554852296643785
1,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 2, 3, 2, 3, 1, 2, 2, 3]",0.8731046915054321,0.8074199131390398,0.0013558294158428907,0.06432896107435226,0.01757768319010072
1,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 2, 3, 2, 3, 2, 3, 1, 2]",0.8731257319450378,0.8074409130661135,0.0013558294158428907,0.06432896107435226,0.017578106784413256
1,1,2,16.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 2, 2, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]",0.8808143138885498,0.8153344440391695,0.0011508907191455364,0.06432896107435226,0.01773289630610413
1,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 4, 2, 2, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]",0.881402313709259,0.8159224438598787,0.0011508907191455364,0.06432896107435226,0.017744734147161243
1,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",0.8913761377334595,0.8592116989720111,0.0,0.03216448053717613,0.01794553105112579
1,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0.8981021642684937,0.8659376984986905,0.0,0.03216448053717613,0.018080942033006083
1,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0.8983271718025208,0.8661626991550271,0.0,0.03216448053717613,0.018085471972184047
