mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step,is_oom,oom_gpumem,is_zero_oom,zerooom_gpumem
1,1,2,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.1739344596862793,1.0876837556760552,0.021921727806329727,0.06432896107435226,0.014796791678534614,False,tensor([3.2830]),False,tensor([2.3186])
1,1,4,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",1.2083321809768677,1.0515220999554036,0.02815207652747631,0.12865792214870453,0.015230355845557318,False,tensor([5.8629]),False,tensor([3.3865])
1,1,1,32.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",1.2785948514938354,1.2464303778380263,0.0,0.03216448053717613,0.016115977772606743,False,tensor([2.6380]),False,tensor([2.6380])
1,2,2,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",1.381759524345398,1.3257214878104138,0.023873524740338326,0.03216448053717613,0.01741631116019355,False,tensor([5.4079]),False,tensor([3.7569])
1,2,1,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.4284145832061768,1.412332331676057,0.0,0.016082240268588066,0.018004372257656522,False,tensor([3.0880]),False,tensor([3.0880])
2,1,2,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.4463905096054077,1.360139823246466,0.021921727806329727,0.06432896107435226,0.01823094882329305,False,tensor([3.6730]),False,tensor([2.7087])
2,1,4,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",1.5105020999908447,1.3536920117174862,0.02815207652747631,0.12865792214870453,0.01903903980255127,False,tensor([6.7730]),False,tensor([4.2965])
1,1,8,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[14, 12, 11, 13]",1.5201419591903687,1.0554548117174862,0.33602914214134216,0.12865792214870453,0.019160544872283934,False,tensor([9.7329]),False,tensor([4.8178])
2,2,2,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",1.5687623023986816,1.5127242639108076,0.023873524740338326,0.03216448053717613,0.019773377287122938,False,tensor([5.8629]),False,tensor([4.2120])
2,1,1,32.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",1.594413161277771,1.5622486686549064,0.0,0.03216448053717613,0.020096692112816703,False,tensor([2.8980]),False,tensor([2.8980])
2,2,1,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.6030913591384888,1.5870090473521112,0.0,0.016082240268588066,0.020206075975630018,False,tensor([3.2830]),False,tensor([3.2830])
1,1,16,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",1.688737392425537,0.9233810352416516,0.6366984248161316,0.12865792214870453,0.02128559664408366,False,tensor([17.4727]),False,tensor([7.9910])
1,2,4,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[15, 11, 11, 13]",1.7470438480377197,1.3279987419108075,0.35471615195274353,0.06432896107435226,0.02202051712459988,False,tensor([9.4678]),False,tensor([5.1889])
2,1,8,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[14, 12, 11, 13]",1.7756909132003784,1.3110038352416513,0.33602914214134216,0.12865792214870453,0.022381597465938992,False,tensor([11.4229]),False,tensor([6.5079])
2,1,16,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",1.8696733713150024,1.104317082289982,0.6366984248161316,0.12865792214870453,0.0235661941379971,False,tensor([20.7228]),False,tensor([11.2411])
1,1,32,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[50],1.894930362701416,0.6890544295310974,1.2058758735656738,0.0,0.02388454448276096,True,tensor([33.9228]),False,tensor([14.9293])
2,1,32,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[50],1.894930362701416,0.6890544295310974,1.2058758735656738,0.0,0.02388454448276096,True,tensor([40.4751]),True,tensor([22.2280])
1,2,8,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",1.9234604835510254,1.208591967434973,0.6505396962165833,0.06432896107435226,0.024244150806003145,False,tensor([15.8477]),False,tensor([7.1561])
2,2,4,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[15, 11, 11, 13]",1.9312583208084106,1.5122132674349729,0.35471615195274353,0.06432896107435226,0.024342438212500678,False,tensor([10.3778]),False,tensor([6.0990])
4,2,1,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.9860926866531372,1.9700104144929336,0.0,0.016082240268588066,0.025033594930436876,False,tensor([3.6730]),False,tensor([3.6730])
4,2,2,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",2.0016655921936035,1.945627479434973,0.023873524740338326,0.03216448053717613,0.025229882753160265,False,tensor([6.7730]),False,tensor([5.1220])
2,2,8,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",2.051780939102173,1.3369122624833032,0.6505396962165833,0.06432896107435226,0.025861558859083388,False,tensor([17.4727]),False,tensor([8.7811])
4,1,2,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2.0901434421539307,2.003892801084494,0.021921727806329727,0.06432896107435226,0.0263450968975491,False,tensor([4.4530]),False,tensor([3.4887])
4,1,4,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",2.114841938018799,1.9580318352416517,0.02815207652747631,0.12865792214870453,0.026656407716539172,False,tensor([8.5930]),False,tensor([6.1166])
1,2,16,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[50],2.2060487270355225,0.978763997554779,1.2272846698760986,0.0,0.02780601862165663,True,tensor([30.6467]),False,tensor([11.8092])
2,2,16,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[50],2.2060487270355225,0.978763997554779,1.2272846698760986,0.0,0.02780601862165663,True,tensor([33.9228]),False,tensor([14.9293])
4,2,16,1.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']",[50],2.2060487270355225,0.978763997554779,1.2272846698760986,0.0,0.02780601862165663,True,tensor([40.4751]),True,tensor([22.2280])
4,1,16,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",2.2315454483032227,1.4661891763866426,0.6366984248161316,0.12865792214870453,0.02812739062839084,True,tensor([26.4107]),False,tensor([17.7414])
4,1,1,32.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",2.256803512573242,2.224638846492934,0.0,0.03216448053717613,0.02844575449625651,False,tensor([3.4180]),False,tensor([3.4180])
4,1,8,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[14, 12, 11, 13]",2.2867887020111084,1.822101882289982,0.33602914214134216,0.12865792214870453,0.028823701150682238,False,tensor([14.8030]),False,tensor([9.8880])
4,2,4,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[15, 11, 11, 13]",2.299687385559082,1.880642318483303,0.35471615195274353,0.06432896107435226,0.02898628189086914,False,tensor([12.1979]),False,tensor([7.9190])
4,2,8,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",2.3084213733673096,1.5935528525799638,0.6505396962165833,0.06432896107435226,0.029096368954976397,False,tensor([20.7228]),False,tensor([12.0313])
1,4,1,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[7, 6, 6, 6, 6, 6, 6, 7]",2.800668478012085,2.7926272735353708,0.0,0.008041120134294033,0.0353008702384101,False,tensor([4.6329]),False,tensor([4.6329])
8,2,8,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[26, 24]",2.848557233810425,2.133688688773285,0.6505396962165833,0.06432896107435226,0.03590448140038384,True,tensor([26.4107]),False,tensor([18.5315])
8,2,2,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",2.867471933364868,2.8114339104833035,0.023873524740338326,0.03216448053717613,0.03614289068010118,False,tensor([8.5930]),False,tensor([6.9421])
1,4,2,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[14, 12, 11, 13]",2.891667604446411,2.5870751272974517,0.2885100841522217,0.016082240268588066,0.03644786367204454,False,tensor([8.4653]),False,tensor([5.7844])
8,2,1,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2.9018805027008057,2.885798178168988,0.0,0.016082240268588066,0.03657659158070882,False,tensor([4.4530]),False,tensor([4.4530])
2,4,1,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[7, 6, 6, 6, 6, 6, 6, 7]",3.0270020961761475,3.01896086629745,0.0,0.008041120134294033,0.03815367975446913,False,tensor([4.8279]),False,tensor([4.8279])
